Sample_ID,State,Water_Source,pH,Temperature_C,Turbidity_NTU,Dissolved_Oxygen_mgL,BOD_mgL,COD_mgL,Total_Dissolved_Solids_mgL,Electrical_Conductivity_uScm,Total_Hardness_mgL,Calcium_mgL,Magnesium_mgL,Chloride_mgL,Sulfate_mgL,Nitrate_mgL,Fluoride_mgL,Total_Coliform_MPN100mL,Lead_mgL,Sampling_Date,WQI_Score,WQI_Class
WQ1000,Gujarat,River,8.34,29.0,2.35,5.02,4.84,3.24,271.3,704.2,199.3,44.57,2.04,134.24,33.49,42.68,0.06,7.0,0.0056,2024-05-07,72.46,Good
WQ1001,UP,Groundwater,6.74,20.6,7.99,6.93,1.8,14.27,121.7,869.1,274.0,90.06,13.42,82.34,25.64,0.63,0.45,58.0,0.0144,2025-01-10,92.83,Excellent
WQ1002,Kerala,Pond,6.53,31.0,2.29,5.38,3.8,12.35,452.4,522.6,398.5,90.16,35.76,49.0,79.37,22.05,0.43,127.0,0.0306,2025-10-26,83.38,Good
WQ1003,Assam,Pond,7.58,22.7,0.46,4.77,2.65,46.2,210.7,1166.6,45.3,66.73,1.0,160.01,72.11,2.73,0.38,192.0,0.0423,2024-03-23,90.25,Excellent
WQ1004,Bihar,Reservoir,6.76,25.4,4.07,7.52,2.03,53.19,396.9,365.6,227.9,37.5,39.25,208.3,7.19,9.35,0.81,120.0,0.0055,2025-06-18,90.53,Excellent
WQ1005,Karnataka,Well,7.71,25.3,9.33,7.43,0.64,9.68,724.0,178.2,116.7,49.66,31.25,2.0,4.63,3.3,1.07,231.0,0.03,2025-06-06,89.39,Good
WQ1006,Kerala,River,7.36,23.3,7.95,8.57,1.87,13.54,689.9,1032.0,84.8,67.16,40.79,4.23,119.38,27.47,0.83,50.0,0.0004,2025-11-29,84.27,Good
WQ1007,Rajasthan,River,5.99,28.1,0.96,6.14,0.85,45.31,443.5,50.0,346.7,55.29,22.62,255.04,38.34,0.86,0.09,30.0,0.0137,2025-09-19,92.83,Excellent
WQ1008,Gujarat,Lake,8.44,28.0,5.59,7.82,7.39,32.87,432.6,638.8,304.5,83.47,1.0,25.97,97.53,5.51,0.58,8.0,0.0103,2025-11-04,78.3,Good
WQ1009,WestBengal,Reservoir,8.64,15.3,1.25,8.1,1.23,0.07,826.0,1635.3,294.9,21.76,30.16,165.32,3.0,4.47,0.05,128.0,0.0029,2024-04-12,86.96,Good
